Area name,Area budget,,,,,,,,,
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45387,6,"64.130339, -21.885485",,Göngustígur við Hvassaleiti,Verkefnið felur í sér að breikka og lagfæra göngustíg austan Hvassaleitis 1-9. ,Walking path on Hvassaleiti,The project entails widening and fixing the walking path on the east side of Hvassaleiti 1-9.,Ścieżka spacerowa przy Hvassaleiti,Projekt obejmuje poszerzenie i naprawę ścieżki na wschód od Hvassaleit 1-9. 
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45257,15,"64.132929, -21.885332",,Útilistaverk fyrir aftan Miðbæ,Verkefnið felur í sér að halda samkeppni um útilistaverk og setja upp fyrir aftan Miðbæ við Háaleitisbraut.,Outdoor artwork behind Miðbær,The project entails holding a competition for an outdoor artwork and setting it up on Háaleitisbraut behind Miðbær.,Sztuka w plenerze w Miðbær,Projekt zakłada przeprowadzenie konkursu na prace plenerowe i ich wystawę za centrum przy Háaleitisbraut.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45369,15,"64.127342, -21.873343",,Yfirbyggt svið í Grundagerðisgarð,Verkefnið felur í sér að byggja yfirbyggt svið í Grundargerðisgarði sem nýta má á fjölbreyttan hátt íbúum til heilla.,Covered stage in Grundargerðisgarður,The project entails building a covered stage in Grundargerðisgarður that can be used in diverse ways to locals' delight.,Zadaszony obszar w Grundagerðisgarður,"Projekt zakłada budowę zadaszonego obszaru w Grundargerðisgarur, wykorzystywany na różne sposoby przez mieszkańców."
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45375,15,,,Púttvöllur,Verkefnið felur í sér að setja upp púttvöll á völdum stað í hverfinu. ,Putting course,The project entails setting up a putting course at a select location in the neighbourhood.,Teren do gry Púttvöllur,Projekt zakłada stworzenie terenu do gry w wybranej lokalizacji w sąsiedztwie. 
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45259,30,,,Vaðlaug,Verkefnið felur í sér að setja upp vaðlaug á völdum stað í hverfinu.,Wading pool,The project entails setting up a wading pool at a select location in the neighbourhood.,Brodzik,Projekt zakłada utworzenia brodzika w dowolnym miejscu w dzielnicy.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45390,3,"64.133490, -21.896831",,Göngustíg frá Kringlumýrarbraut inn í Álftamýri,Verkefnið felur í sér að bæta og breikka malarstíginn milli Kringlumýrarbrautar og Álftamýrar.,Walking path from Kringlumýrarbraut into Álftamýri,The project entails improving and widening the gravel path between Kringlumýrarbraut and Álftamýri.,Ścieżka spacerowa z Kringlumýrarbraut do Álftamýri,Projekt obejmuje ulepszenie i poszerzenie żwirowej ścieżki między Kringlumýrarbraut i Álftarmýri.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45296,4,"64.133019, -21.882733",,Trjágöng við Háaleitisbraut,"Verkefnið felur í sér að styrkja trjágróður við Háaleitisbraut, frá Safamýri/Ármúla að Miðbæ.",Tree alley on Háaleitisbraut,"The project entails adding trees and bushes on Háaleitisbraut, from Safamýri/Ármúli to Miðbær.",Tunel drzewny w Háaleitisbraut,"Projekt obejmuje hodowlę drzew na Háaleitisbraut, od Safamýri / Ármúli do Miðbær."
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45399,5,"64.120787, -21.877104",,Sleðabrekka fyrir neðan Grímsbæ,Verkefnið felur í sér að gera sleðabrekkuna fyrir neðan Grímsbæ brattari með landmótun.,Sledding slope below Grímsbær,The project entails making the sledding slope below Grímsbær steeper by landscaping.,Stoki saneczkowe pod Grímsbær,Projekt polega na stworzeniu stoku saneczkowego poniżej Grímsbær wraz z zagospodarowaniem terenu.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45233,16,,,Parkour völlur,Verkefnið felur í sér að setja upp parkour völl í hverfinu.,Parkour park,The project entails setting up a parkour park in the neighbourhood.,Tor parkourowy,Projekt zakłada utworzenie toru parkourowego w dzielnicy.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45283,5,"64.120001, -21.856198",,Dvalarsvæði við Póló,Verkefnið felur í sér að setja upp dvalarsvæði við leiksvæðið fyrir neðan Póló við Bústaðaveg.,Rest area by Póló,The project entails setting up a rest area by the play area below Póló on Bústaðavegur.,Miejsce rekreacyjne przy Póló,Projekt obejmuje stworzenie strefy mieszkalnej przy placu zabaw pod Póló przy Bústaðavegur.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45292,25,,,Hjólabrettagarður,Verkefnið felur í sér að setja upp hjólabrettagarð í hverfinu.,Skateboard park,The project entails setting up a skateboard park in the neighbourhood.,Skatepark,Projekt zakłada utworzenie parku dla deskorolek.
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45347,10,"64.124127, -21.868090",,Minigolfvöllur,Verkefnið felur í sér að gera lítinn minigolfvöll á opnu svæði við Hæðargarð.   ,Minigolf course,The project entails making a small minigolf course  on the open area on Hæðargarður.,Pole do minigolfa,Projekt zakłada budowę małego pola do minigolfa na otwartym terenie przy Hæðargarður.   
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45248,8,"64.123596, -21.873907",,Útieldun í Úlfaskógi (Garðaflöt),"Verkefnið felur í sér að setja upp grillaðstöðu við opið leiksvæði við Hæðargarð, einnig þekkt sem Garðaflöt.  ",Outdoor cooking in Úlfaskógur (Garðaflöt),"The project entails setting up barbecue facilities by the open play area on Hæðargarður, also known as Garðaflöt.",Grill w Úlfaskógi (Garðaflöt),"Projekt zakłada utworzenie miejsca do grillowania przy otwartym placu zabaw Hæðargarður, znanym również jako Garðaflöt.  "
Háaleiti og Bústaðir,https://betrireykjavik.is/post/45319,12,"64.121211, -21.877082",,"Endurgera körfuboltavöll hjá ""Skrýtna róló""",Verkefnið felur í sér endurgera körfuboltavöll milli Búlands og Giljalands í Fossvogi.  ,"Renovate basketball court by the ""Strange playground""",The project entails renovating the basketball court between Búland and Giljaland in Fossvogur.,Przebudowa boiska do koszykówki przy „Skrýtna róló”,Projekt obejmuje przebudowę boiska do koszykówki pomiędzy Búland i Giljaland w Fossvogur.  
Breiðholt,https://betrireykjavik.is/post/54547,8,"64.099258, -21.846538",,Ærslabelgur í Seljahverfi,Verkefnið felur í sér að setja upp ærslabelg á völdum stað í Seljahverfi. ,Jumping pillow in Seljahverfi,The project entails setting up a jumping pillow in Seljahverfi.,Poducha dmuchana w dzielnicy Seljahverfi,Projekt zakłada instalację dmuchanej poduchy w wybranym miejscu w dzielnicy Seljahverfi. 
Breiðholt,https://betrireykjavik.is/post/54548,2,"64.09914794, -21.84759557",,Jólaljós við Seljatjörn,Verkefnið felur í sér að setja upp hvítar seríur á trén í kringum Seljatjörn. ,Christmas lights by Seljatjörn,The project entails setting up white string lights on the trees around Seljatjörn.,Światełka świąteczne przy Seljatjörn,Projekt zakłada zainstalowanie światełek świątecznych na drzewach dookoła jeziorka Seljatjörn. 
Breiðholt,https://betrireykjavik.is/post/54549,8,"64.104571, -21.820732",,Ærslabelgur í Efra-Breiðholti,Verkefnið felur í sér að setja upp ærslabelg á völdum stað í Efra- Breiðholti. ,Jumping pillow in Efra-Breiðholt,The project entails setting up a jumping pillow in Efra-Breiðholt.,Poducha dmuchana w dzielnicy Efra-Breiðholt,Projekt zakłada instalację dmuchanej poduchy w wybranym miejscu w dzielnicy Efra- Breiðholt. 
Breiðholt,https://betrireykjavik.is/post/28899,6,,,Gróðursetja fleiri tré á völdum stöðum í Breiðholti,"Verkefnið felur í sér að gróðursetja tré á völdum stöðum í Breiðholti, m.a. við götur og stíga til að draga úr vindi.",Plant more trees at select locations in Breiðholt,"The project entails planting more trees at select locations, including along streets and footpaths to reduce wind.",Zasadzenie drzew w wybranych miejscach na Breiðholcie,"Projekt zakłada zasadzenie drzew w wybranych miejscach w Breiðholt, aby zasłonić od wiatru ulice i chodniki."
Breiðholt,https://betrireykjavik.is/post/54550,46,"64.104556, -21.818985",,Stækka vaðlaugina í Breiðholtslaug,Verkefnið felur í sér að stækka vaðlaugina í Breiðholtslaug. ,Enlarge the wading pool in Breiðholtslaug,The project entails enlarging the wading pool in Breiðholtslaug.,Powiększenie brodzika na Breiðholtslaug,Projekt zakłada powiększenie brodzika na basenie Breiðholtslaug. 
Breiðholt,https://betrireykjavik.is/post/45056,36,"64.105156, -21.827666",,Þrekstigi úr Neðra-Breiðholti upp í Efra-Breiðholt,Verkefnið felur í sér að setja þrekstiga á völdum stað í opna svæðinu á milli Neðra-Breiðholts og Efra-Breiðholts.  ,Fitness staircase from Neðra-Breiðholt up to Efra-Breiðholt,The project entails setting up a fitness staircase at a select spot in the open area between Neðra- and Efra-Breiðholt.,Ścieżka zdrowia z Neðra-Breiðholt do Efra-Breiðholt,Projekt zakłada instalację ścieżki zdrowia na świeżym powietrzu między dzielnicami Neðra-Breiðholt i Efra-Breiðholt.  
Breiðholt,https://betrireykjavik.is/post/45031,11,,,Trampólíngarður,Verkefnið felur í sér að setja upp útitrampólíngarð á völdum stað í hverfinu,Trampoline park,The project consits of setting up an outdoor trampoline park in a select location in the neighbourhood.,Park trampolinowy,Projekt zakłada instalację parku trampolin w wybranym miejscu w dzielnicy.
Breiðholt,https://betrireykjavik.is/post/44980,26,"64.105046,-21.8180275","64.109796,-21.8430222",Uppfæra strætóskýli á völdum stöðum í Breiðholti,Verkefnið felur í sér að uppfæra rauðu strætóskýlin í skýli með skjám sem sýna rauntímaupplýsingar strætisvagna. ,Update bus shelters at select spots in Breiðholt,The project entails switching out the red bus shelters for shelters with screens that show bus information in real time.,Renowacja przystanków  w wybranych miejscach na Breiðholcie.,Projekt obejmuje zainstalowanie w czerwonych wiatach ekranów z informacjami o autobusach w czasie rzeczywistym. 
Breiðholt,https://betrireykjavik.is/post/45046,39,"64.09763225, -21.82372928",,Nýjan brettagarð við Jafnasel,Verkefnið felur í sér að endurnýja rampa í brettagarðinum við Jafnasel.,New skate park by Jafnasel,The project entails renewing ramps in the skate park by Jafnasel.,Skatepark przy Jafnarsel,Projekt zakłada odnowienie ramp w skateparku przy Jafnarsel.
Breiðholt,https://betrireykjavik.is/post/45039,8,"64.107614, -21.832947",,Ærslabelgur í Neðra-Breiðholti,Verkefnið felur í sér að setja upp ærslabelg á völdum stað í Neðra-Breiðholti. ,Jumping pillow in Neðra-Breiðholt,The project entails setting up a jumping pillow in Neðra-Breiðholt.,Poducha dmuchana w dzielnicy Neðra-Breiðholt,Projekt zakłada instalację dmuchanej poduchy w wybranym miejscu w dzielnicy Neðra- Breiðholt. 
Breiðholt,https://betrireykjavik.is/post/39038,39,"64.10490107, -21.81531592",,Umbætur á Markúsartorgi,Verkefnið felur í sér að fríska uppá torgið og útbúa betri aðstöðu fyrir fjölskyldur og ungmenni. ,Improvements to Markúsartorg,The project entails freshening up the square and making better facilities for families and youth.,Renowacja placu Markúsartorg,Projekt zakłada odświeżenie placu i stworzenie lepszych udogodnień dla rodzin i młodzieży. 
Breiðholt,https://betrireykjavik.is/post/45048,33,"64.09647409, -21.82853007",,Sparkvöll og leikvöll við Jaðarsel,Verkefnið felur í sér endurbætur á sparkvelli og aðliggjandi leiksvæði við Jaðarsel.  ,Mini football pitch and playground on Jaðarsel,The project entails renovations to the mini football pitch and adjoining play area on Jaðarsel.,Boisko do piłki i plac zabaw przy Jaðarsel,Projekt zakłada odnowienie boiska i murawy oraz placu zabaw przy Jaðarsel.
Breiðholt,https://betrireykjavik.is/post/44956,14,"64.1022711,-21.8229255",,Skólahreystibraut við Fellaskóla,Verkefnið felur í sér að setja upp skólahreystibraut við Fellaskóla. ,School fitness park by Fellaskóli,The project entails setting up a school fitness park by Fellaskóli.,Tor przeszkód Skólahreystir przy Fellaskóli,Projekt zakłada zbudowania toru przeszkód Skólahreystir przy szkole Fellaskóli. 
Breiðholt,https://betrireykjavik.is/post/44925,20,"64.105158, -21.820489",,Klifurleikvöllur í Efra-Breiðholti,Verkefnið felur í sér að setja upp klifurleikvöll í Efra-Breiðholti. ,Climbing playground in Efra-Breiðholt,The project entails setting up a climbing playground in Efra-Breiðholt.,Wspinaczkowy plac zabaw w Efra-Breiðholt,Projekt zakłada instalację wspinaczkowego placu zabaw w dzielnicy Efra- Breiðholt. 
Breiðholt,https://betrireykjavik.is/post/45022,21,,,Útiæfingatæki á völdum stöðum í Breiðholti,Verkefnið felur í sér að setja upp útiæfingatæki á tveimur stöðum í Breiðholti.  ,Outdoor exercise equipment at select spots in Breiðholt,The project entails setting up outdoor exercise equipment at two locations in Breiðholt.,Siłownie pod chmurką w wybranych miejscach na Breiðholcie.,Projekt zakłada instalację przyrządów do ćwiczeń w dwóch miejscach w dzielnicy Breiðholt.  
Breiðholt,https://betrireykjavik.is/post/45009,2,"64.106785, -21.826260",,Jólaljós í tré milli Efra- og Neðra Breiðholts,Verkefnið felur í sér að setja upp jólaljós í tré við göngustíginn sem er á milli Efra- og Neðra-Breiðholts. ,Christmas lights between Efra- and Neðra-Breiðholt,The project entails setting up Christmas lights in the trees along the walking path between Efra- and Neðra-Breiðholt.,Oświetlenie świąteczne drzew z Efra do Neðra-Breiðholt.,Projekt zakłada instalację światełek przy ścieżce z Neðra do Efra-Breiðholt. 
Breiðholt,https://betrireykjavik.is/post/44922,42,"64.1003383,-21.8495241","64.107199, -21.818227",Endurnýja körfuboltavelli í hverfinu,"Verkefnið felur í sér að endurnýja körfuboltavelli við Hólabrekkuskóla, Seljaskóla og Ölduselsskóla. ",Refurbish neighbourhood basketball courts,"The project entails refurbishing basketball courts by Hólabrekkuskóli, Seljaskóli and Ölduselsskóli.",Odnowienie w dzielnicy boiska do koszykówki ,"Projekt zakłada odnowienie boiska do koszykówki przy szkołach: Hólabrekkuskóli, Seljaskóli oraz Ölduselsskóli. "
Breiðholt,https://betrireykjavik.is/post/44966,4,"64.1077638,-21.8090923","64.101531, -21.840359",Bætt lýsing á völdum stöðum í hverfinu,Verkefnið felur í sér að bæta lýsingu við Suðurhóla og göngustíg í Seljahverfi. ,Improve lighting at select locations in the neighbourhood,The project entails improving lighting along Suðurhólar and a walking path in Seljahverfi.,Dodanie oświetlenia w wybranych miejscach w dzielnicy,Projekt zakłada instalację oświetlenia przy Suðurhólar oraz alejki w Seljahverfi. 
Breiðholt,https://betrireykjavik.is/post/45058,10,,,Vatnspóstar á valda staði í hverfinu,Verkefnið felur í sér að setja upp vatnspósta á tveimur stöðum í hverfinu.,Drinking fountains at select spots in the neighbourhood,The project entails setting up drinking fountains in a few spots in the neighbourhood.,Punkty picia wody w wybranych miejscach w dzielnicy,Projekt zakłada instalację ujęć wody pitnej w kilku miejscach w dzielnicy.  
Breiðholt,https://betrireykjavik.is/post/44885,34,"64.104697, -21.821218",,Endurnýja fótboltavöll á miðsvæði Efra-Breiðholts ,Verkefnið felur í sér að endurnýja fótboltavöllinn á miðsvæði Efra-Breiðholts.   ,Refurbish football pitch by Breiðholtslaug,The project entails refurbishing the football pitch in central Efra-Breiðholt.,Renowacja boiska przy basenie Breiðholtslaug.,Projekt zakłada renowację boiska do piłki nożnej w centrum dzielnicy Efra-Breiðholt.   
Breiðholt,https://betrireykjavik.is/post/45064,24,"64.099349, -21.846841",,Heilsuræktargarður í Seljadal,Verkefnið felur í sér að setja upp heilsuræktargarð í Seljadal til að stuðla að bættri heilsu.    ,Outdoor gym in Seljadalur,The project entails setting up an outdoor gym in Seljadalur to promote better health.,Ogródki zdrowia w Seljadalur,Projekt obejmuje utworzenie ogródków hodowlanych w Seljadalur w celu promowania lepszego zdrowia.    
Breiðholt,https://betrireykjavik.is/post/44916,7,,,Trjá- og gróðursöfn víðsvegar um hverfið,Verkefnið felur í sér að setja upp trjá- og gróðursafnsreiti í hverfinu ásamt fræðsluskiltum um söfnin.     ,Trees and flower beds all over the neighbourhood,The project entails setting up tree and plant beds in the neighbourhood along with educational signs about the plants. ,Zadrzewienie i posadzenie roślinności w okolicy,Projekt zakłada zasadzenie drzew i roślinności oraz umieszczenie tablic informacyjnych o nich.     
Breiðholt,https://betrireykjavik.is/post/45050,13,"64.0948891, -21.83580229",,Endurgera leikvöll við Kambasel,"Verkefnið felur í sér að endurgera leikvöllin við Kambasel, s.s. undirlag og leiktæki.       ",Redo playground by Kambasel,"The project entails redoing the playground by Kambasel, e.g. underlay and playground equipment.",Renowacja placu zabaw przy Kambasel,Projekt zakłada odnowienie placu zabaw przy Kambasel tj. nawierzchni i sprzętu.       
Breiðholt,https://betrireykjavik.is/post/44928,3,,,Nýjar ruslatunnur í hverfið,Verkefnið felur í sér að setja upp fleiri ruslatunnur í hverfinu.       ,New trash bins in the neighbourhood,The project entails setting up more trash bins in the neighbourhood.,Nowe kosze na śmieci w dzielnicy,Projekt zakłada zwiększenie ilości koszy na śmieci w dzielnicy.       
Breiðholt,https://betrireykjavik.is/post/44963,11,"64.101250, -21.808416",,Áningarstaður í Elliðaárdal,Verkefnið felur í sér að koma upp dvalarsvæði með leikígildi á útivistarsvæði í Elliðaárdalnum.,Recreational area in Elliðaárdalur,The project entails building a rest area with play equipment in the outdoor recreation area in Elliðaárdalur.,Miejsce odpoczynku w  Elliðaárdalur,Projekt obejmuje utworzenie miejsca odpoczynku i rekreacji  w Elliðaárdalur.
Breiðholt,https://betrireykjavik.is/post/44958,13,"64.106955, -21.814603",,Leikvöll með risaeðluþema í Hábergi,Verkefnið felur í sér að endurnýja leiksvæðið í Hábergi. Óskað er eftir að risaeðluþema verði ráðandi í endurgerðinni.,Dinosaur-themed playground in Háberg,The project entails renovating the play area in Háberg. A dinosaur theme is requested for the renovation.,Dinopark w Hábergi,"Projekt zakłada odnowienie placu zabaw w Hábergi. Z prośbą, aby  dominował motyw dinozaurów."
Breiðholt,https://betrireykjavik.is/post/45010,6,"64.110220, -21.832790",,Fegra umhverfi í Bakkahverfi og Stekkjahverfi,Verkefnið felur í sér að fegra Neðra-Breiðholt með fallegum blómgróðri.        ,Beautify surroundings in Bakkahverfi and Stekkjahverfi,The project entails beautifying Neðra-Breiðholt with beautiful flowers.,Upiększenie dzielnic Bakkahverfi i Stekkjahverfi,Projekt zakłada upiększenie Neðra-Breiðholt pięknymi kwiatami.        
Breiðholt,https://betrireykjavik.is/post/45005 ,6,,,Stór róla í Breiðholti ,Verkefnið felur í sér að setja upp háa rólu á völdum stað í hverfinu.         ,Big swing in Breiðholt,The project entails setting up a high swing at a select location in the neighbourhood.,Wielka huśtawka na Breiðholt,Projekt zakłada instalację wysokiej huśtawki w wybranym miejscu w dzielnicy.         
Breiðholt,https://betrireykjavik.is/post/44923,5,,,Fleiri bekki í hverfið,Verkefnið felur í sér að setja upp fleiri bekki við göngustíga í hverfinu.          ,More benches in the neighbourhood,The project entails setting up more benches along footpaths in the neighbourhood.,Zwiększenie ilości ławek w dzielnicy,Projekt zakłada zwiększenia ilości ławek przy deptakach w okolicy.          
Breiðholt,https://betrireykjavik.is/post/44911,2,"64.099349, -21.846841",,Útiborðtennisborð ,Verkefnið felur í sér að setja upp útiborðtennisborð í Seljadal.           ,Outdoor table tennis table,The project entails setting up an outdoor table tennis table in Seljadalur.,Stoły do ping-ponga na powietrzu ,Projekt zakłada wystawienie stołów do ping-ponga na powietrzu w dzielnicy Seljadalur.           
Árbær,https://betrireykjavik.is/post/54551,6,"64.112269, -21.794297",,Infrarauðir saunaklefar í Árbæjarlaug,Verkefnið felur í sér að setja upp infrarauða saunaklefa í Árbæjarlaug.,Infrared sauna at Árbæjarlaug,The project entails setting up an infrared sauna at Árbæjarlaug.,Sauny na podczerwień w Árbæjarlaug,Projekt zakłada utworzenie saun na podczerwień na basenie Árbæjarlaug.
Árbær,https://betrireykjavik.is/post/33157,13,"64.111126, -21.776423",,Ævintýra og útivistarsvæði við Rauðavatn,Verkefnið felur í sér að setja upp áningarstað með grillaðstöðu og afþreyingu við Rauðavatn.,Adventure and recreation area by Rauðavatn,The project entails setting up a rest area with barbecue facilities and recreation by Rauðavatn.,Teren rekreacyjno-wypoczynkowy przy Rauðavatn,Projekt zakłada utworzenie terenu wypoczynkowego z miejscem do grilowania i rekreacji przy Rauðavatn.
Árbær,https://betrireykjavik.is/post/28454,8,,,Ærslabelgur í Árbæjarhverfi,Verkefnið felur í sér að setja upp ærslabelg á völdum stað í Árbæjarhverfi. ,Jumping pillow in Árbæjarhverfi,The project entails setting up a jumping pillow at a select location in Árbær.,Poducha dmuchana w dzielnicy Árbær,Projekt zakłada instalację dmuchanej poduchy w wybranym miejscu w dzielnicy Norðlingaholt. 
Árbær,https://betrireykjavik.is/post/28464,16,"64.1067426,-21.7847411",,Rauðaborg: endurgera leiksvæði,Verkefnið felur í sér að endurnýja leiktæki og fallvarnarefni í leikskólanum.,Rauðaborg: remake playground,The project entails refurbishing the playground equipment  and the fall matting at the preschool.,Rauðaborg: odnowienie placu zabaw,Projekt zakłada odnowienie urządzeń do zabawy oraz nawierzchni na przedszkolnym placu zabaw.
Árbær,https://betrireykjavik.is/post/28485,7,"64.112269, -21.794297",,Vaðlaug í Árbæjarlaug,Verkefnið felur í sér að endurbæta núverandi vaðlaug í Árbæjarlaug,Wading pool in Árbæjarlaug,The project entails improving the existing wading pool in Árbæjarlaug.,Brodzik na basenie Árbæjarlaug,Projekt zakłada renowację brodzika w Árbæjarlaug
Árbær,https://betrireykjavik.is/post/44728,29,"64.110273, -21.789595","64.119917, -21.828419",Endurnýja körfuboltavelli í hverfinu,"Verkefnið felur í sér endurbætur á körfuboltavöllum í hverfinu, m.a. að setja nýtt yfirborðsefni og nýjar körfur. ",Refurbish neighbourhood basketball courts,"The project entails improvements to the basketball courts in the neighbourhood, including resurfacing and new baskets. ",Odnowienie boiska do koszykówki w dzielnicy,Projekt zakłada odnowienie boiska do koszykówki w dzielnicy: nowa nawierzchnia i nowe kosze. 
Árbær,https://betrireykjavik.is/post/44977,8,"64.119010, -21.816026",,Jólaþorp á Árbæjarsafni,Verkefnið felur í sér að halda aðventuhátíð á Árbæjarsafninu fyrir jólin 2021.,Christmas village at Árbæjarsafn museum,The project entails holding an Advent festival at Árbæjarsafn for Christmas 2021.,Jarmark Świąteczny w Árbæjarsafn,Projekt zakłada stworzenie jarmarku Bożonarodzeniowego 2021 w skansenie w Árbæjarsafn.
Árbær,https://betrireykjavik.is/post/44740,8,"64.100847, -21.772467",,Ærslabelgur í Norðlingaholt,Verkefnið felur í sér að setja upp ærslabelg á völdum stað í Norðlingaholti. ,Jumping pillow in Norðlingaholt,The project entails setting up a jumping pillow at a select location in Norðlingaholt.,Poducha dmuchana w Norðlingaholt,Projekt zakłada instalację dmuchanej poduchy w wybranym miejscu w dzielnicy Norðlingaholt. 
Árbær,https://betrireykjavik.is/post/44741,14,"64.101397, -21.772871",,Skólahreystibraut við Norðlingaskóla,Verkefnið felur í sér að setja upp skólahreystibraut við Norðlingaskóla.,School fitness park by Norðlingaskóli,The project entails setting up a school fitness park by Norðlingaskóli.,Tor przeszkód Skólahreystir przy Norðlingaskóli,Projekt zakłada zbudowania toru przeszkód Skólahreystir przy szkole Norðlingaskóli.
Árbær,https://betrireykjavik.is/post/44688,39,"64.101227, -21.759974",,Nýr stígur milli Norðlingaholts og Rauðavatns,Verkefnið felur í sér að búa til betri göngutengingu milli Norðlingaholts og Rauðavatns með gerð nýs stígar. ,New path between Norðlingaholt and Rauðavatn,The project entails improving the pedestrian connection between Norðlingaholt and Rauðavatn by constructing a new path.,Nowa ścieżka między Norðlingaholt i Rauðavatn,Projekt zakłada stworzenie lepszego połączenia pieszego między Norðlingaholt i Rauðavatn poprzez budowę nowej ścieżki. 
Árbær,https://betrireykjavik.is/post/44691,20,"64.100604, -21.776290",,Nýr stígur við Árvað og Lækjarvað,Verkefnið felur í sér að búa til nýjan stíg við Árvað og Lækjarvað til að gera öruggari gönguleið innan hverfis. ,New path along Árvað and Lækjarvað,The project entails making a new path along Árvað and Lækjarvað to make a safer footpath within the neighbourhood.,Nowa ścieżka między Árvað i Lækjarvað,Projekt zakłada stworzenie ścieżki  przy Árvað i Lækjarvað aby w okolicy powstały bezpieczniejsze szlaki piesze. 
Árbær,https://betrireykjavik.is/post/44748,11,"64.100248, -21.768900",,Grænt leiksvæði og æfingatæki í Norðlingaholti,Verkefnið felur í sér að setja upp svæði með leiktækjum og æfingatækjum neðan við Bugðu. ,Green play area and exercise equipment in Norðlingaholt,The project entails setting up an area with playground and exercise equipment below Bugða.,Zielony plac zabaw i sprzęt do ćwiczeń w Norðlingaholt.,Projekt zakłada stworzenie w okolicach Bugða terenu z urządzeniami do zabaw i sprzętem do ćwiczeń. 
Árbær,https://betrireykjavik.is/post/44665,13,,,Hjólabraut í Árbæjarhverfi,Verkefnið felur í sér að setja upp hjólabraut á völdum stað í Árbæjarhverfi. ,Bike track in Árbær,The project entails setting up a bike track at a selected location in Árbær.,Ścieżka rowerowa w dzielnicy Árbær,Projekt zakłada utworzenie ścieżki rowerowej w wybranym miejscu w dzielnicy Árbær. 
Árbær,https://betrireykjavik.is/post/44672,39,"64.110959, -21.774296",,Reiðstígur norðan við Rauðavatn,Verkefnið felur í sér að framlengja reiðstíg norðan við Rauðavatn. ,Separate the horse trail north of Rauðavatn,The project entails extending the horse trail on the north side of Rauðavatn lake.,Ścieżka jeździecka na płn. od Rauðavatn,Projekt zakłada wydłużenie szlaku jeździeckiego na północ od Rauðavatn. 
Árbær,https://betrireykjavik.is/post/44739,26,"64.101531, -21.771690",,Gervigras á fótboltavöll Norðlingaskóla,Verkefnið felur í sér að setja gervigras á fótboltavöllinn við hlið sparkvallarins.  ,Artificial turf on Norðlingaskóli mini football pitch ,The project entails laying new artificial grass on the football field by the mini football pitch.,Sztuczna trawa na boisku szkolnym Norðlingaskóli,Projekt zakłada wyłożenie boiska do piłki nożnej nową sztuczną trawą.  
Árbær,https://betrireykjavik.is/post/44703,33,,,Hjólabrettagarður,Verkefnið felur í sér að setja upp hjólabrettagarð á völdum stað í Árbæjarhverfi. ,Skateboard park,The project entails setting up a skateboard park at a select location in Árbær.,Skatepark,Projekt zakłada utworzenie parku deskorolkowego w wybranej lokalizacji w Árbæjarhverfi. 
Árbær,https://betrireykjavik.is/post/44768,39,"64.107111, -21.760096",,Reiðstígur austan við Rauðavatn,Verkefnið felur í sér að framlengja reiðstíg austan við Rauðavatn.  ,Separate the horse trail east of Rauðavatn,The project entails extending the horse trail on the east side of Rauðavatn lake.,Ścieżka jeździecka na wschód od Rauðavatn.,Projekt zakłada wydłużenie szlaku jeździeckiego na wschód od Rauðavatn.  
Árbær,https://betrireykjavik.is/post/44770,4,,,Fleiri bekki og ruslatunnur á völdum stöðum í hverfinu,Verkefnið felur í sér að setja upp bekki og ruslatunnur á nokkrum stöðum í hverfinu. ,More benches and trash bins around the neighbourhood,The project entails setting up benches and trash bins in a few places in the neighbourhood.,Więcej ławek i koszy na śmieci w wybranych miejscach w dzielnicy,Projekt zakłada zwiększenie ilości ławek i koszy na śmieci w wybranych miejscach w dzielnicy. 
Árbær,https://betrireykjavik.is/post/44667,13,"64.114831, -21.801153",,Endurgera dvalarsvæði fyrir neðan Árbæjarkirkju,Verkefnið felur í sér að fríska upp á dvalarsvæðið fyrir neðan Árbæjarkirkju. ,Remake rest area below Árbæjarkirkja,The project entails freshening up the rest area below Árbæjarkirkja.,Renowacja dzielnicy mieszkalnej poniżej Árbæjarkirkja,Projekt obejmuje odświeżenie dzielnicy mieszkalnej poniżej kościoła Árbæjarkirkja. 
Árbær,https://betrireykjavik.is/post/44684,11,"64.117709, -21.813858",,Áningarstaður við Ystabæ,"Verkefnið felur í sér að setja upp áningarstað með leikígildi, m.a. bekki og berjarunna.",Rest area by Ystabær,"The project entails setting up a rest area with benches, berry bushes and signs about the neighbourhood's history.",Miejsce odpoczynku przy Ystabær,Projekt zakłada utworzenie miejsca odpoczynku z ławkami i gajami jagodowymi w okolicy.
